"035600","KG이니시스 ","18050","50","0.28","1594","11.32","11032","1.64","350","1.94"
"001390","KG케미칼 ","34150","950","2.86","3358","10.17","29370","1.16","400","1.17"
"226360","KH E&T ","1735","-35","-1.98",,,"1402","1.24","0","0.00"
"111870","KH 일렉트론 ","898","0","0.00",,,"1144","0.78","0","0.00"
"033180","KH 필룩스 ","3505","-100","-2.77",,,"2768","1.27","0","0.00"
"060720","KH바텍 ","25100","-700","-2.71",,,"7447","3.37","0","0.00"
"001940","KISCO홀딩스 ","21150","-150","-0.70","2260","9.36","45645","0.46","300","1.42"
"122450","KMH ","9630","-140","-1.43","718","13.41","5865","1.64","0","0.00"
"052900","KMH하이텍 ","1695","-40","-2.31","34","49.85","1628","1.04","0","0.00"
"058400","KNN ","1695","-15","-0.88","46","36.85","1506","1.13","15","0.88"
"114450","KPX생명과학 ","8590","-90","-1.04",,,"3958","2.17","0","0.00"
"025000","KPX케미칼 ","61900","300","0.49","13307","4.65","108169","0.57","2750","4.44"
"092230","KPX홀딩스 ","66500","-100","-0.15","34397","1.93","183257","0.36","3100","4.66"
"000040","KR모터스 ","1035","-20","-1.90",,,"396","2.61","0","0.00"
"044450","KSS해운 ","11550","-350","-2.94","584","19.78","11592","1.00","300","2.60"
"030200","KT ","32450","-50","-0.15","2684","12.09","53661","0.60","1350","4.16"
"033780","KT&G ","81100","200","0.25","9320","8.70","65822","1.23","4800","5.92"
"030210","KTB투자증권 ","6770","20","0.30","1162","5.83","8631","0.78","150","2.22"
"058850","KTcs ","2740","20","0.74","257","10.66","3831","0.72","80","2.92"
"058860","KTis ","2595","-20","-0.76","223","11.64","4810","0.54","80","3.08"
"060370","KT서브마린 ","5890","-40","-0.67","58","101.55","4693","1.26","30","0.51"
"093050","LF ","18300","100","0.55","605","30.25","42186","0.43","500","2.73"
"003550","LG ","95200","-100","-0.10","8338","11.42","115188","0.83","2500","2.63"
"034220","LG디스플레이 ","18950","-450","-2.32",,,"31863","0.59","0","0.00"
"051900","LG생활건강 ","1339000","2000","0.15","47596","28.13","268428","4.99","11000","0.82"
"051905","LG생활건강우 ","659000","3000","0.46",,,,,"11050","1.68"
"003555","LG우 ","70200","200","0.29",,,,,"2550","3.63"
"032640","LG유플러스 ","14800","50","0.34","1095","13.52","16891","0.88","450","3.04"
"011070","LG이노텍 ","217000","1500","0.70","9978","21.75","102576","2.12","700","0.32"
"066570","LG전자 ","139500","-1000","-0.71","10926","12.77","85368","1.63","1200","0.86"
"066575","LG전자우 ","68300","-300","-0.44",,,,,"1250","1.83"
"037560","LG헬로비전 ","7640","-10","-0.13",,,"8149","0.94","75","0.98"
"051910","LG화학 ","761000","1000","0.13","6666","114.16","230440","3.30","10000","1.31"
"051915","LG화학우 ","359000","4500","1.27",,,,,"10050","2.80"
"079550","LIG넥스원 ","52000","-200","-0.38","2664","19.52","30569","1.70","900","1.73"
